City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Alihe,CN,270.6,overcast clouds,50.5667,123.7167,Alihe Forestry Hotel
2,Severodvinsk,RU,257.21,overcast clouds,64.5635,39.8302,Park Hotel
3,Lebu,CL,286.1,clear sky,-37.6167,-73.65,Hostal Las Lilas
4,Bogatyye Saby,RU,269.31,overcast clouds,56.0102,50.4483,Nur
5,Izumo,JP,288.12,scattered clouds,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
8,Bluff,NZ,286.37,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
14,Mataura,NZ,286.19,overcast clouds,-46.1927,168.8643,Ellie's Villa
15,Wajima,JP,286.53,scattered clouds,37.4,136.9,Wajiima Onsen Yashio
16,Ushuaia,AR,285.96,few clouds,-54.8,-68.3,Albatros Hotel
18,Nanortalik,GL,272.54,broken clouds,60.1432,-45.2371,Hotel Kap Farvel
21,Wladyslawowo,PL,269.78,overcast clouds,54.7909,18.4009,Gwiazda Morza Resort SPA&SPORT
23,Sisimiut,GL,265.29,overcast clouds,66.9395,-53.6735,Hotel Sisimiut
28,Kamen-Rybolov,RU,272.9,broken clouds,44.7481,132.0403,"The recreation center ""Olimp"""
32,Hasaki,JP,285.53,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
33,Chuy,UY,289.03,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
34,Gimli,CA,266.72,overcast clouds,50.6336,-96.9907,Lakeview Gimli Resort
35,Mugla,TR,273.52,clear sky,37.2303,28.3557,Petek Hotel
37,Tuktoyaktuk,CA,260.15,light snow,69.4541,-133.0374,End of The Road Ltd.
39,Rabo De Peixe,PT,287.75,scattered clouds,37.8,-25.5833,Quinta das Giestas
42,Punta Arenas,CL,283.21,clear sky,-53.15,-70.9167,Hotel Hain
43,Norman Wells,CA,265.17,light snow,65.282,-126.8329,Heritage Hotel
44,Jamestown,US,271.92,light snow,42.097,-79.2353,Hampton Inn & Suites Jamestown
54,Half Moon Bay,US,285.72,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
56,Severo-Kurilsk,RU,274.03,broken clouds,50.6789,156.125,Kak Doma
57,Khatanga,RU,254.49,overcast clouds,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
58,Upernavik,GL,262.33,overcast clouds,72.7868,-56.1549,Gina's Guesthouse - Upernavik
61,Kodiak,US,274.88,clear sky,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
