City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Busselton,AU,2021-12-09 05:49:33,-33.65,115.3333,310.4,54,38,5.6,scattered clouds
1,Alihe,CN,2021-12-09 05:49:34,50.5667,123.7167,270.6,81,100,1.79,overcast clouds
2,Severodvinsk,RU,2021-12-09 05:49:36,64.5635,39.8302,257.21,95,98,1.83,overcast clouds
3,Lebu,CL,2021-12-09 05:49:37,-37.6167,-73.65,286.1,91,3,7.14,clear sky
4,Bogatyye Saby,RU,2021-12-09 05:49:39,56.0102,50.4483,269.31,95,100,4.58,overcast clouds
5,Izumo,JP,2021-12-09 05:49:41,35.3667,132.7667,288.12,58,40,4.63,scattered clouds
6,Adrar,MR,2021-12-09 05:49:42,20.5022,-10.0711,286.93,19,82,4.49,broken clouds
7,Orange Cove,US,2021-12-09 05:49:43,36.6244,-119.3137,286.4,62,70,0.97,broken clouds
8,Bluff,NZ,2021-12-09 05:49:44,-46.6,168.3333,286.37,67,94,6.74,overcast clouds
9,Provideniya,RU,2021-12-09 05:49:46,64.3833,-173.3,255.62,98,100,8.01,light snow
10,Meulaboh,ID,2021-12-09 05:49:47,4.1363,96.1285,303.05,67,87,2.62,overcast clouds
11,Port Elizabeth,ZA,2021-12-09 05:49:48,-33.918,25.5701,294.32,100,90,2.57,fog
12,Mar Del Plata,AR,2021-12-09 05:49:50,-38.0023,-57.5575,292.52,94,0,8.05,clear sky
13,Vaini,TO,2021-12-09 05:49:51,-21.2,-175.2,301.24,78,40,5.66,scattered clouds
14,Mataura,NZ,2021-12-09 05:49:52,-46.1927,168.8643,286.19,87,99,2.02,overcast clouds
15,Wajima,JP,2021-12-09 05:49:53,37.4,136.9,286.53,58,40,4.12,scattered clouds
16,Ushuaia,AR,2021-12-09 05:49:55,-54.8,-68.3,285.96,50,20,4.63,few clouds
17,Rikitea,PF,2021-12-09 05:49:16,-23.1203,-134.9692,297.67,69,60,8.7,broken clouds
18,Nanortalik,GL,2021-12-09 05:49:57,60.1432,-45.2371,272.54,88,67,9.02,broken clouds
19,Port Alfred,ZA,2021-12-09 05:49:58,-33.5906,26.891,295.61,83,96,3.61,overcast clouds
20,Atuona,PF,2021-12-09 05:50:00,-9.8,-139.0333,298.89,74,9,8.17,clear sky
21,Wladyslawowo,PL,2021-12-09 05:50:01,54.7909,18.4009,269.78,73,100,9.69,overcast clouds
22,Tautira,PF,2021-12-09 05:50:02,-17.7333,-149.15,300.16,66,58,4.65,broken clouds
23,Sisimiut,GL,2021-12-09 05:50:04,66.9395,-53.6735,265.29,66,100,2.89,overcast clouds
24,Caravelas,BR,2021-12-09 05:50:07,-17.7125,-39.2481,296.37,95,100,3.95,overcast clouds
25,Bredasdorp,ZA,2021-12-09 05:50:09,-34.5322,20.0403,292.75,82,96,5.17,overcast clouds
26,Kapaa,US,2021-12-09 05:50:10,22.0752,-159.319,299.33,73,90,0.89,overcast clouds
27,Eyl,SO,2021-12-09 05:50:11,7.9803,49.8164,300.11,52,55,8.64,broken clouds
28,Kamen-Rybolov,RU,2021-12-09 05:50:13,44.7481,132.0403,272.9,88,81,3.98,broken clouds
29,Hermanus,ZA,2021-12-09 05:50:14,-34.4187,19.2345,293.09,84,98,4.97,overcast clouds
30,San Patricio,US,2021-12-09 05:50:16,28.017,-97.5169,295.31,96,83,2.43,broken clouds
31,Bafoulabe,ML,2021-12-09 05:50:17,13.8065,-10.8321,295.84,18,60,1.72,broken clouds
32,Hasaki,JP,2021-12-09 05:50:18,35.7333,140.8333,285.53,65,98,11.35,overcast clouds
33,Chuy,UY,2021-12-09 05:50:20,-33.6971,-53.4616,289.03,83,64,3.17,broken clouds
34,Gimli,CA,2021-12-09 05:50:22,50.6336,-96.9907,266.72,79,100,10.8,overcast clouds
35,Mugla,TR,2021-12-09 05:50:23,37.2303,28.3557,273.52,69,3,0.58,clear sky
36,Boa Vista,BR,2021-12-09 05:50:25,2.8197,-60.6733,299.14,89,75,0.51,broken clouds
37,Tuktoyaktuk,CA,2021-12-09 05:50:26,69.4541,-133.0374,260.15,85,90,5.66,light snow
38,East London,ZA,2021-12-09 05:50:27,-33.0153,27.9116,294.67,94,0,2.06,clear sky
39,Rabo De Peixe,PT,2021-12-09 05:50:29,37.8,-25.5833,287.75,96,40,2.57,scattered clouds
40,Ilebo,CD,2021-12-09 05:50:30,-4.3167,20.5833,294.65,100,100,0.27,moderate rain
41,Butaritari,KI,2021-12-09 05:50:33,3.0707,172.7902,301.16,78,100,5.05,overcast clouds
42,Punta Arenas,CL,2021-12-09 05:50:35,-53.15,-70.9167,283.21,71,0,3.09,clear sky
43,Norman Wells,CA,2021-12-09 05:50:37,65.282,-126.8329,265.17,79,90,8.23,light snow
44,Jamestown,US,2021-12-09 05:50:38,42.097,-79.2353,271.92,89,90,1.34,light snow
45,Mana,GF,2021-12-09 05:50:39,5.6592,-53.7767,297.68,93,100,3.29,overcast clouds
46,Nouadhibou,MR,2021-12-09 05:50:41,20.931,-17.0347,291.63,43,100,9.47,overcast clouds
47,Avarua,CK,2021-12-09 05:50:42,-21.2078,-159.775,298.18,88,90,0.51,overcast clouds
